gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3747166552	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/109004047	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Mid-Western	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	28.564859	81.320291	29607.0						2022-02-18T13:43	18	2	2022	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	109004047		packardr90	2022-03-20T00:27:53	CC_BY_4_0	packardr90	packardr90			2024-03-26T22:03:03.662Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3747022541	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/108887672	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.413418	84.536504	29727.0						2015-11-12T06:38:17	12	11	2015	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	108887672		ulexeuropaeus	2022-03-18T18:32:39	CC_BY_NC_4_0	ulexeuropaeus	ulexeuropaeus			2024-03-26T22:33:29.118Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3743329108	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/108793347	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.41117	84.555117	29727.0						2020-03-12T09:51	12	3	2020	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	108793347		Gabriel Bienzobas Fernández	2022-03-17T11:52:59	CC_BY_NC_4_0	Gabriel Bienzobas Fernández	Gabriel Bienzobas Fernández			2024-03-26T23:16:11.110Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3743151392	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/108816239	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Mid-Western	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	28.583361	81.366841	29607.0						2022-02-17T13:34	17	2	2022	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	108816239		packardr90	2022-03-17T18:57:01	CC_BY_4_0	packardr90	packardr90			2024-03-26T22:05:48.749Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3705790743	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/107581133	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		IN		Assam	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.605399	93.531672	29822.0						2016-03-20T12:20	20	3	2016	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	107581133		mike_steinmann	2022-02-27T20:13:13	CC_BY_NC_4_0	mike_steinmann	mike_steinmann			2024-03-26T21:57:12.118Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3705786638	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/107460525	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.483106	84.450482	29727.0						2022-02-23T15:29:23	23	2	2022	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	107460525		missmagwong	2022-02-26T06:02:49	CC_BY_NC_4_0	missmagwong	missmagwong			2024-03-26T22:35:04.184Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3698353628	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/107026246	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		IN		Assam	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.713896	91.155658	29822.0						2019-03-18T14:09:20	18	3	2019	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	107026246		brnhn	2022-02-19T10:21:33	CC_BY_NC_4_0	Hemalatha S	Hemalatha S			2024-03-26T22:40:21.780Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3698076810	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/107178864	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Mid-Western	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	28.540708	81.3142	29607.0						2022-02-17T12:35:26	17	2	2022	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	107178864		packardr90	2022-02-21T13:02:27	CC_BY_4_0	packardr90	packardr90			2024-03-26T22:01:13.404Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3499502781	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/106698933	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.499047	84.359593	29727.0						2018-03-09T15:38Z	9	3	2018	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	106698933		Zoltan BAGOSI	2022-02-13T20:27:20	CC_BY_NC_4_0	Zoltan BAGOSI	Zoltan BAGOSI			2024-03-26T21:56:37.221Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3499500801	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/106698932	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.422621	84.034953	29727.0						2018-03-09T12:56Z	9	3	2018	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	106698932		Zoltan BAGOSI	2022-02-13T20:27:20	CC_BY_NC_4_0	Zoltan BAGOSI	Zoltan BAGOSI			2024-03-26T21:56:24.015Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
