occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,environment,tectonic_setting,geology_comments,time_bins,time_contain,time_major,time_buffer,time_overlap,created,modified
396592,occ,,,21515,Diceros bicornis,species,104189,Gelasian,Calabrian,2.58,0.774,Harris,1983,10231,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,36.233002,4.287,KE,,,,4,basin,"3km2 estimate from map, Ileret subregion",fluvial-lacustrine indet.,rift,"ETE sed env 1: fluv_lacustr, ETE sed env 2: . ETE event: ., ETE env comment: ephemeral lacustrine",Calabrian,-,Calabrian,"Gelasian, Calabrian","Gelasian, Calabrian",12/04/2004 10:00,12/04/2004 12:00
396904,occ,,,38137,Rhinocerotidae,family,43187,MN 6,,13.82,12.8,Antunes and Mein,1977,10239,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,,-8.683333,39.299999,PT,Santarém,Santarém,based on nearby landmark,minutes,small collection,"Near the village of Póvoa de Santarém, a lignitic clay with fragments of plants and bone were discovered when a well was dug. Coordinates from the Carte Militaire du Portugal 1:25,000, sheet no. 341 (Pernes, Santarém), ND 211,5 558,5.",pond,,"Lignite suggests marsh/stagnant pond in the vicinity of a river or ?oxbow (reference is to dead arms ""des bras morts). Differing biozones are cited for original habitats of specific taxa, including savannah and forest invironments. \n",Serravallian,Serravallian,Serravallian,Serravallian,Serravallian,13/04/2004 16:01,13/04/2004 18:01
396933,occ,,,38139,Rhinocerotidae,family,43187,MN 6,,13.82,12.8,Antunes and Mein,1977,10239,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,,-8.683333,39.25,PT,Santarém,,based on nearby landmark,minutes,small collection,"As in collection 38137, also in the Tagus'basin, this site was discovered when a well was dug. Coordinates from the Carte Militaire du Portugal 1:25,000, sheet no. 352 (Almoster, Santarém), ND 227,5 473,5. UTM 29, Ellipsoid European International Datum. Lat long is for Póvoa de Santarém.",fluvial indet.,,A more strictly fluviatile deposit with limestone concretions are from the Massif Calcaire.,Serravallian,Serravallian,Serravallian,Serravallian,Serravallian,13/04/2004 17:43,13/04/2004 19:43
397176,occ,,,38152,Aceratherium,genus,43188,Tortonian,Messinian,11.63,5.333,Vicente Castells,1985,10249,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Aceratherium,2.193333,41.513332,ES,Barcelona,Valles Oriental,based on nearby landmark,seconds,small collection,"""El objeto de esta nota, es de dar conocimiento del hallazgo del craneo de un rinocerotido, en el Mioceno continental des termino de Montcada i Reixac (La Llagosta), i que ha sido despositado por el plazo de tres anos en el Museo Municipal de Montcada....el crani d'un rinocerotid trobat a la part baixa dels anomenats Turons de les Vinyes, compresos a la Serra de Ca N'Albinyana, en els terrenys que era propietaria."" Lat long is for La Llagosta.",lacustrine indet.,,,Tortonian,-,Tortonian,"Tortonian, Messinian","Tortonian, Messinian",15/04/2004 12:47,15/04/2004 14:47
398748,occ,,,38303,Cadurcodon ardynensis,species,253282,Late Eocene,,37.71,33.9,Dashzeveg,1996,9225,Chordata,Mammalia,Perissodactyla,Amynodontidae,Cadurcodon,111.916664,43.75,MN,Dornogov,,based on nearby landmark,seconds,outcrop,"located 3 km northeast of the railway station, situated on the east side of the railroad tracks. Quarry is 340 m long and 120 m wide",fluvial-lacustrine indet.,,,Priabonian,Priabonian,Priabonian,Priabonian,Priabonian,19/04/2004 14:44,24/11/2015 12:02
398750,occ,,,38303,Prohyracodon obrutschewi,species,99714,Late Eocene,,37.71,33.9,Dashzeveg,1996,9225,Chordata,Mammalia,Perissodactyla,Hyracodontidae,Prohyracodon,111.916664,43.75,MN,Dornogov,,based on nearby landmark,seconds,outcrop,"located 3 km northeast of the railway station, situated on the east side of the railroad tracks. Quarry is 340 m long and 120 m wide",fluvial-lacustrine indet.,,,Priabonian,Priabonian,Priabonian,Priabonian,Priabonian,19/04/2004 14:44,24/11/2015 12:02
398866,occ,,,38309,Cadurcodon ardynensis,species,253282,Late Eocene,,37.71,33.9,Dashzeveg,1996,9225,Chordata,Mammalia,Perissodactyla,Amynodontidae,Cadurcodon,111.916664,43.75,MN,Dornogov,,based on nearby landmark,minutes,outcrop,"Quarry 2 is located 2.7 km southeast of the station (at Dzamyn Ude) and is situated on the east side of the tracks, it is 150 m long and 50 m wide.",fluvial-lacustrine indet.,,,Priabonian,Priabonian,Priabonian,Priabonian,Priabonian,19/04/2004 15:15,19/04/2004 17:15
398880,occ,,,38314,Stephanorhinus hundsheimensis,species,197772,Middle Pleistocene,,0.774,0.129,Ficcarelli et al.,1997,10278,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Stephanorhinus,12.733333,42.033333,IT,,,based on nearby landmark,minutes,outcrop,"at the head of the chienti River in the Colfiorito Basin (Umbro-Marchean Apennines), at about 820 m above sea level",fluvial indet.,,,Chibanian,Chibanian,Chibanian,Chibanian,Chibanian,19/04/2004 17:05,19/04/2004 19:05
399297,occ,,,38345,Alicornops alfambrense,species,86344,MN 10,,9.7,8.7,Cerdeño and Alcalá,1989,10287,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Alicornops,-1.021944,40.5,ES,Teruel,,stated in text,seconds,outcrop,"At km 567 on the Cordoba-Tarragona highway, 21 km northeast of Teruel, between Alfambra and Peralejos, in the rio Alfambra basin, Teruel, Spain. ",terrestrial indet.,,,Tortonian,Tortonian,Tortonian,Tortonian,Tortonian,20/04/2004 11:44,10/08/2018 15:33
400243,occ,,,38060,Aceratherium,genus,43188,Burdigalian,,20.44,15.98,Leakey and Leakey,1986,10163,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Aceratherium,35.75,3.333333,KE,,,stated in text,minutes,,"Kalodirr is located near the head-waters of the Kalodirr River (3°20’N, 35°45’E), extending from just south of the Lodwar-Kalakol road north to the Lokipenata Ridge; approximately 10km south of the Miocene localities: Losodok, Moruaret Hill and Moruarot.","""channel""",,"Sedimentological analyses indicate deposition via small meandering stream channels (Boschetto, 1992).",Burdigalian,Burdigalian,Burdigalian,Burdigalian,Burdigalian,21/04/2004 11:25,24/12/2009 10:59
